nohup: ignoring input
will save to logs/2022-06-09_20:26:30.ckpt

train E000:   0% 0/328 [00:00<?, ?it/s]
train E000:   0% 0/328 [00:10<?, ?it/s, acc=0.0000, loss=3.5480]
train E000:   0% 1/328 [00:10<55:36, 10.20s/it, acc=0.0000, loss=3.5480]
train E000:   0% 1/328 [00:10<55:36, 10.20s/it, acc=0.0000, loss=3.5475]
train E000:  41% 136/328 [00:40<00:49,  3.86it/s, acc=0.0248, loss=3.4810]
train E000:  41% 136/328 [00:40<00:49,  3.86it/s, acc=0.0305, loss=3.4799]
train E000:  42% 137/328 [00:40<00:49,  3.83it/s, acc=0.0305, loss=3.4799]
train E000:  42% 137/328 [00:40<00:49,  3.83it/s, acc=0.0239, loss=3.4795]
train E000:  42% 138/328 [00:40<00:48,  3.88it/s, acc=0.0239, loss=3.4795]
train E000:  42% 138/328 [00:40<00:48,  3.88it/s, acc=0.0289, loss=3.4768]
train E000:  42% 139/328 [00:40<00:48,  3.87it/s, acc=0.0289, loss=3.4768]
train E000:  42% 139/328 [00:41<00:48,  3.87it/s, acc=0.0258, loss=3.4764]
train E000:  43% 140/328 [00:41<00:48,  3.86it/s, acc=0.0258, loss=3.4764]
train E000:  43% 140/328 [00:41<00:48,  3.86it/s, acc=0.0230, loss=3.4773]
train E000:  43% 141/328 [00:41<00:46,  3.99it/s, acc=0.0230, loss=3.4773]
train E000:  43% 141/328 [00:41<00:46,  3.99it/s, acc=0.0196, loss=3.4765]
train E000:  43% 142/328 [00:41<00:47,  3.95it/s, acc=0.0196, loss=3.4765]
train E000:  43% 142/328 [00:41<00:47,  3.95it/s, acc=0.0190, loss=3.4761]
train E000:  44% 143/328 [00:41<00:46,  4.01it/s, acc=0.0190, loss=3.4761]
train E000:  44% 143/328 [00:42<00:46,  4.01it/s, acc=0.0270, loss=3.4782]
train E000:  44% 144/328 [00:42<00:46,  3.96it/s, acc=0.0270, loss=3.4782]
train E000:  44% 144/328 [00:42<00:46,  3.96it/s, acc=0.0211, loss=3.4787]
train E000:  44% 145/328 [00:42<00:46,  3.92it/s, acc=0.0211, loss=3.4787]
